Tournament,Seed,TeamID
M,W01,1163
M,W02,1235
M,W03,1228
M,W04,1120
M,W05,1361
M,W06,1140
M,W07,1450
M,W08,1194
M,W09,1321
M,W10,1179
M,W11,1182
M,W12,1412
M,W13,1463
M,W14,1287
M,W15,1355
M,W16,1391
M,X01,1314
M,X02,1112
M,X03,1124
M,X04,1104
M,X05,1388
M,X06,1155
M,X07,1173
M,X08,1280
M,X09,1277
M,X10,1305
M,X11,1307
M,X12,1213
M,X13,1158
M,X14,1159
M,X15,1253
M,X16,1447
M,Y01,1345
M,Y02,1397
M,Y03,1166
M,Y04,1242
M,Y05,1211
M,Y06,1376
M,Y07,1400
M,Y08,1429
M,Y09,1395
M,Y10,1161
M,Y11,1332
M,Y12,1270
M,Y13,1359
M,Y14,1103
M,Y15,1389
M,Y16,1212
M,Z01,1222
M,Z02,1266
M,Z03,1246
M,Z04,1181
M,Z05,1458
M,Z06,1403
M,Z07,1196
M,Z08,1304
M,Z09,1401
M,Z10,1129
M,Z11,1301
M,Z12,1241
M,Z13,1436
M,Z14,1324
M,Z15,1443
M,Z16,1255
